token_id,block_timestamp,block_number,transaction_index,liquidity_change,liquidity,transaction_hash
3,2021-05-04T20:07:45,12369811,255,123809464957093,123809464957093,0x004cb88319b0678320cb0a04fab8003897f33c345576adfbb1f79b903a0509f0
23,2021-05-04T21:24:32,12370189,107,13358544967193,13358544967193,0x79ce22cf42c24772cd3fe5875bea9bb38ffa55e340711fd42f2b8bbafeced9dc
27,2021-05-04T21:41:58,12370268,122,153249855151766,153249855151766,0xa503f71b5686bf337d46402a66abbe2bb97b230786c7a415701d5cc82e608746
230,2021-05-05T18:54:26,12375970,41,6041582694118,6041582694118,0x1daf60d4bab52c884e542f8c9bbbc3768aa8e6f70ad51f8d108cc84dce487d10
712,2021-05-05T20:44:51,12376483,90,92410141308510,92410141308510,0x15f8ab4af319f3bc4c917878788b21c01988d26a8e91ba465362b9c23adc378c
765,2021-05-05T20:56:26,12376530,144,943822977080954,943822977080954,0xe215c9e71f20aa0092b3eb788ba802c6092b8db5f10871f822df8e71359c8c5e
712,2021-05-05T20:56:42,12376531,197,-92410141308510,0,0x7c9f38c570ac95dd0925d7fa93712aaeeb125e3931e754dbfbff556c3d25bd0f
940,2021-05-05T21:32:36,12376690,165,437352158069432,437352158069432,0x26dcbbd87e5e08191a155ace4d5166433d8f5cc09173da70a2d9de9096e6d207
968,2021-05-05T21:39:36,12376720,89,11939809034779090,11939809034779090,0x72f613e3c778ecb469159cefa79d9c2292bd0ded3a44be138015d2db60eec426
1571,2021-05-06T00:13:49,12377437,120,94731403981610,94731403981610,0x327bf823169d8b666c2af554d57bb479d5d4b5409de49884708304e5141802d0
1645,2021-05-06T00:50:49,12377577,50,1006686470602302,1006686470602302,0x5917d4859b25dada71450e724329a85c863ed90e9c63b05ff26a66ced2bab961
1774,2021-05-06T01:21:24,12377729,82,42876776422126,42876776422126,0x672b789fce4f37244e56d1860808332e420e9aa7f0aea31474119fac348ae93c
2034,2021-05-06T02:25:05,12378039,126,1682174077141,1682174077141,0x5472dcf45c87cf387b92746cc0a767448fcefd9dc079f37fc1885cdc39d12e76
2103,2021-05-06T02:46:08,12378139,118,4929005500799,4929005500799,0xb2bb2baef86e34b86b51eb34b706fcb3ae937eb30860df5540a146226f78b084
2269,2021-05-06T03:37:52,12378383,48,3286003667199,3286003667199,0x9b71b6925677fdfcc819986573365598848d510df44edec917b102240702e663
2333,2021-05-06T03:46:54,12378436,43,841087038570,841087038570,0xe816c342ae5d0c18f589da07c8557e5277379900c7168a1ef6845c8b75162431
2396,2021-05-06T03:56:55,12378484,123,543541600506100,543541600506100,0x8a9a2d0411d1fc168a4b9bf74c0c48f8e9f2845656be41cde5e259b3488e333c
2472,2021-05-06T04:12:30,12378560,43,622426594153846,622426594153846,0xef5daf927cbe8c8176a48898954fb52319dea6d9169d261b5f068923f1c24d1d
2538,2021-05-06T04:29:39,12378633,221,10632583695612,10632583695612,0x0ecf981129d12ec9850e21d3fff5254a94905856513075864845a4fd0ab59d8f
2541,2021-05-06T04:30:18,12378636,107,3357229991085253,3357229991085253,0xd2bfbbbebffe50b2b861227e3a2fc5231d5be54a069e3eefa2d8fe733b4f6630
2617,2021-05-06T04:46:22,12378710,26,21463816590672,21463816590672,0xfb02f79f2cd4c31c4aadb744a41974c73a4c645e4f2f31bb6f1a900a3cc5ba76
2624,2021-05-06T04:46:32,12378712,87,99585553503024,99585553503024,0x8c300dd712ae45508ea8b8faf28443b6bf73661ee79a9dc62d9eb787a7a5f76c
2630,2021-05-06T04:48:51,12378718,248,3357229991085253,3357229991085253,0x8fb10e2a2a10a48d238413c9bb7e0fdcc7146720ad149bc733d299d064f43a71
2728,2021-05-06T05:12:12,12378827,115,123142832986166,123142832986166,0xa16ccbdf18e99860cd7a4f9d7f398515a621cd7e486040215b24841a5f1383f0
