pair_id,exchange_id,address,token0_address,token1_address,token0_symbol,token1_symbol,dex_type,base_token_symbol,quote_token_symbol,token0_decimals,token1_decimals,exchange_slug,exchange_address,pair_slug,fee
1,1,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDC,WETH,uniswap_v2,WETH,USDC,6,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,eth-usdc,30
4,1,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DAI,WETH,uniswap_v2,WETH,DAI,18,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,eth-dai,30
6,1,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,DAI,USDC,uniswap_v2,DAI,USDC,18,6,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,dai-usdc,30
23,1,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WBTC,WETH,uniswap_v2,WETH,WBTC,8,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,eth-wbtc,30
33,1,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,0x514910771af9ca656af840dff83e8264ecf986ca,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,LINK,WETH,uniswap_v2,LINK,WETH,18,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,link-eth,30
78,1,0x8a01ba64fbc7b12ee13f817dfa862881fec531b8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x514910771af9ca656af840dff83e8264ecf986ca,WBTC,LINK,uniswap_v2,LINK,WBTC,8,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,link-wbtc,30
121,1,0x004375dff511095cc5a197a54140a24efef3a416,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,WBTC,USDC,uniswap_v2,WBTC,USDC,8,6,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,wbtc-usdc,30
124,1,0x231b7589426ffe1b75405526fc32ac09d44364c4,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x6b175474e89094c44da98b954eedeac495271d0f,WBTC,DAI,uniswap_v2,WBTC,DAI,8,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,wbtc-dai,30
126,1,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,USDC,USDT,uniswap_v2,USDT,USDC,6,6,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,usdt-usdc,30
129,1,0x6d4fd456edeca58cf53a8b586cd50754547dbdb2,0x514910771af9ca656af840dff83e8264ecf986ca,0x6b175474e89094c44da98b954eedeac495271d0f,LINK,DAI,uniswap_v2,LINK,DAI,18,18,uniswap-v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,link-dai,30
